paper_id,paper_title,metric,metric_smaller_category,metric_larger_category,outcome,outcome_smaller_category,outcome_larger_category,outcome_instrument,analysis_method,analysis_result
1,An Interactive Table for Supporting Participation Balance in Face-to-Face Collaborative Learning,speech time,audio features,verbal,verbal participation,communication,product,survey,t-test,sig (t[38] = 2.18)
3,Understanding collaborative program comprehension: Interlacing gaze and dialogues,focused gaze,gaze / eye direction,gaze,program understanding,performance,product,researcher codes,anova,sig
3,Understanding collaborative program comprehension: Interlacing gaze and dialogues,focused gaze,gaze / eye direction,gaze,program understanding,performance,product,researcher codes,mixed linear model,sig
3,Understanding collaborative program comprehension: Interlacing gaze and dialogues,focused gaze,gaze / eye direction,gaze,dialogue episodes,coordination,product,researcher codes,mixed linear model,sig
3,Understanding collaborative program comprehension: Interlacing gaze and dialogues,together gaze,gaze / eye direction,gaze,program understanding,performance,product,researcher codes,anova,sig
3,Understanding collaborative program comprehension: Interlacing gaze and dialogues,together gaze,gaze / eye direction,gaze,program understanding,performance,product,researcher codes,mixed linear model,sig
3,Understanding collaborative program comprehension: Interlacing gaze and dialogues,together gaze,gaze / eye direction,gaze,dialogue episodes,coordination,product,researcher codes,mixed linear model,sig
3,Understanding collaborative program comprehension: Interlacing gaze and dialogues,gaze transitions,eye motion,gaze,dialogue episodes,coordination,product,researcher codes,anova,sig
4,Physiological Linkage of Dyadic Gaming Experience,physiological linkage,electrodermal activity,physiological,behavioral involvement,individual cognitive processes,process,social presence in gaming questionnaire,regression,sig
4,Physiological Linkage of Dyadic Gaming Experience,physiological linkage,electrodermal activity,physiological,empathy,affective state,process,social presence in gaming questionnaire,regression,sig
4,Physiological Linkage of Dyadic Gaming Experience,physiological linkage,electrodermal activity,physiological,negative feelings,affective state,process,social presence in gaming questionnaire,regression,sig
4,Physiological Linkage of Dyadic Gaming Experience,physiological linkage,electrodermal activity,physiological,perceived comprehension,learning,product,social presence inventory questionnaire,regression,sig
4,Physiological Linkage of Dyadic Gaming Experience,physiological linkage,electrodermal activity,physiological,behavioral involvement,individual cognitive processes,process,social presence in gaming questionnaire,regression,sig
4,Physiological Linkage of Dyadic Gaming Experience,physiological linkage,electrodermal activity,physiological,empathy,affective state,process,social presence in gaming questionnaire,regression,sig
4,Physiological Linkage of Dyadic Gaming Experience,physiological linkage,electrodermal activity,physiological,negative feelings,affective state,process,social presence in gaming questionnaire,regression,sig
4,Physiological Linkage of Dyadic Gaming Experience,physiological linkage,electrodermal activity,physiological,perceived comprehension,learning,product,social presence inventory questionnaire,regression,sig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,"non-verbal speaking metrics (speaking length, interruptions, etc) [10 metrics]",speech participation,verbal,leadership perceived,interpersonal relationship / perception,process,questionnaire,correlation,nonsig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,"non-verbal speaking metrics (speaking length, interruptions, etc) [10 metrics]",speech participation,verbal,contribution perceived,interpersonal relationship / perception,process,questionnaire,correlation,nonsig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,"non-verbal speaking metrics (speaking length, interruptions, etc) [10 metrics]",speech participation,verbal,leadership perceived,interpersonal relationship / perception,process,questionnaire,regression,nonsig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,"non-verbal speaking metrics (speaking length, interruptions, etc) [10 metrics]",speech participation,verbal,contribution perceived,interpersonal relationship / perception,process,questionnaire,regression,nonsig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,visual attention metrics [8 metrics],gaze / eye direction,gaze,leadership perceived,interpersonal relationship / perception,process,questionnaire,correlation,nonsig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,visual attention metrics [8 metrics],gaze / eye direction,gaze,contribution perceived,interpersonal relationship / perception,process,questionnaire,correlation,sig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,visual attention metrics [8 metrics],gaze / eye direction,gaze,leadership perceived,interpersonal relationship / perception,process,questionnaire,regression,nonsig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,visual attention metrics [8 metrics],gaze / eye direction,gaze,contribution perceived,interpersonal relationship / perception,process,questionnaire,regression,nonsig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,verbal dominance and information metrics [9 metrics],speech participation,verbal,leadership perceived,interpersonal relationship / perception,process,questionnaire,correlation,sig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,verbal dominance and information metrics [9 metrics],speech participation,verbal,contribution perceived,interpersonal relationship / perception,process,questionnaire,correlation,sig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,verbal dominance and information metrics [9 metrics],speech participation,verbal,leadership perceived,interpersonal relationship / perception,process,questionnaire,regression,nonsig
5,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,verbal dominance and information metrics [9 metrics],speech participation,verbal,contribution perceived,interpersonal relationship / perception,process,questionnaire,regression,nonsig
6,"Are we together or not? The temporal interplay of monitoring, physiological arousal and physiological synchrony during a collaborative exam",eda peak detection,electrodermal activity,physiological,"monitoring of behavior, cognition, motivations and emotions",individual cognitive processes,process,"video coding of monitoring (behavior, cognition, motivations and emotions)",correlation,sig (r=0.663)
6,"Are we together or not? The temporal interplay of monitoring, physiological arousal and physiological synchrony during a collaborative exam",physiological concordance index,mixed,physiological,"monitoring of behavior, cognition, motivations and emotions",individual cognitive processes,process,"video coding of monitoring (behavior, cognition, motivations and emotions)",correlation,sig (r=0.663)
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","group participation speaking cues (speaking length, speaking turns, successful interruptions, unsuccessful interruptions, backchannels)",speech participation,verbal,"group composition (agreeableness, conscientiousness, extraversion, neuroticism, and openness to experience)",group composition,condition,neo-ffi questionnaire,correlation,sig
