(15, 148)
Cited by 144
Cited by 53
Cited by 93
Cited by 20
Cited by 32
Cited by 60
Cited by 12
Cited by 41
Cited by 38
Cited by 27
Cited by 84
Cited by 32
Cited by 2
Cited by 5
Cited by 105
Cited by 15
Cited by 24
Cited by 78
Cited by 59
Cited by 8
Cited by 109
Cited by 24
Cited by 97
Cited by 29
Cited by 24
Cited by 74
Cited by 7
Cited by 100
Cited by 110
Cited by 65
Cited by 32
Cited by 63
Cited by 13
Cited by 20
Cited by 16
Cited by 35
Cited by 93
Cited by 26
Cited by 53
Cited by 39
Cited by 44
Cited by 24
Cited by 1
Cited by 90
Cited by 10
Cited by 51
Cited by 143
Cited by 52
Cited by 41
Cited by 14
Cited by 35
Cited by 20
Cited by 196
Cited by 90
Cited by 13
Cited by 37
Cited by 22
Cited by 22
Cited by 45
Cited by 31
Cited by 41
Cited by 17
Cited by 36
Cited by 137
Cited by 570
Cited by 25
Cited by 4
Cited by 10
Cited by 18
Cited by 31
Cited by 56
Cited by 37
Cited by 66
Cited by 35
Cited by 32
Cited by 97
Cited by 74
Cited by 35
Cited by 196
Cited by 8
Cited by 9
Cited by 16
Cited by 45
Cited by 15
Cited by 40
Cited by 0
Cited by 7
Cited by 26
Cited by 53
Cited by 16
Cited by 790
Cited by 13
Cited by 100
Cited by 46
Cited by 27
Cited by 13
Cited by 98
Cited by 16
Cited by 143
Cited by 20
Cited by 1
Cited by 69
Cited by 544
Cited by 119
Cited by 420
Cited by 29
Cited by 134
Cited by 63
Cited by 115
Cited by 24
Cited by 76
Cited by 116
Cited by 594
Cited by 4
Cited by 26
Cited by 14
Cited by 21
Cited by 213
Cited by 48
Cited by 26
Cited by 13
Cited by 11
Cited by 46
Cited by 97
Cited by 7
Cited by 30
Cited by 88
Cited by 209
Cited by 17
Cited by 31
Cited by 96
Cited by 42
Cited by 10
Cited by 489
Cited by 323
Cited by 4
Cited by 32
Cited by 387
Cited by 377
Cited by 103
Cited by 8
Cited by 38
Cited by 67
Cited by 1
Cited by 8
Cited by 138
Cited by 31
Cited by 32
